year,month,day,hour,minute,velocidad_viento@98m,direccion_viento@98m,temperatura,humedad_relativa,presion
2008,1,1,6,0,9.22,79.9,25.1,97.4,1012.591
2008,1,1,7,0,9.0,81.7,24.9,97.7,1012.096
2008,1,1,8,0,9.01,80.3,24.5,97.8,1012.017
2008,1,1,9,0,9.56,80.6,24.3,97.8,1012.234
2008,1,1,10,0,8.67,82.3,24.5,97.5,1012.905
2008,1,1,11,0,8.84,87.5,24.5,97.3,1013.679
2008,1,1,12,0,8.41,91.6,24.6,97.4,1014.438
2008,1,1,13,0,8.17,97.2,24.8,97.2,1015.044
2008,1,1,14,0,8.36,98.2,25.3,96.5,1015.471
2008,1,1,15,0,8.28,96.7,25.4,96.2,1015.485
2008,1,1,16,0,8.53,95.3,25.1,96.5,1015.342
2008,1,1,17,0,8.61,95.2,24.9,96.5,1014.616
2008,1,1,18,0,8.27,94.1,25.3,96.0,1013.541
2008,1,1,19,0,7.77,88.8,25.5,95.8,1012.641
2008,1,1,20,0,7.5,81.2,25.6,95.7,1012.248
2008,1,1,21,0,7.62,73.7,25.6,95.8,1011.884
2008,1,1,22,0,7.58,69.7,25.6,96.0,1011.869
2008,1,1,23,0,8.27,67.3,25.6,96.0,1012.378
2008,1,2,0,0,8.74,66.4,25.6,96.2,1012.48
2008,1,2,1,0,8.74,67.1,25.6,96.3,1013.066
2008,1,2,2,0,8.71,68.5,25.7,96.1,1013.458
2008,1,2,3,0,9.18,72.9,25.7,96.0,1013.788
2008,1,2,4,0,9.54,76.5,25.7,96.0,1013.662
2008,1,2,5,0,9.29,78.0,25.5,96.0,1013.474
2008,1,2,6,0,9.07,78.9,25.5,95.7,1012.924
2008,1,2,7,0,8.74,80.2,25.5,95.7,1012.256
2008,1,2,8,0,8.53,80.2,25.4,95.6,1012.143
2008,1,2,9,0,8.36,79.2,25.3,95.6,1012.054
2008,1,2,10,0,7.39,80.9,25.2,96.1,1012.829
2008,1,2,11,0,7.17,83.6,25.2,96.0,1012.889
2008,1,2,12,0,7.31,84.9,24.8,96.7,1013.798
2008,1,2,13,0,7.44,84.5,24.7,96.5,1014.684
2008,1,2,14,0,7.31,85.2,24.6,96.6,1015.209
2008,1,2,15,0,7.48,85.5,24.6,96.8,1015.608
2008,1,2,16,0,8.09,82.0,24.4,96.9,1014.982
2008,1,2,17,0,8.37,79.1,24.2,97.3,1014.319
2008,1,2,18,0,8.53,77.2,24.5,97.0,1013.212
2008,1,2,19,0,8.74,73.0,24.7,96.4,1012.33
2008,1,2,20,0,8.86,68.0,24.7,96.5,1012.032
2008,1,2,21,0,8.99,64.0,24.8,96.3,1012.173
2008,1,2,22,0,8.58,65.1,25.0,96.0,1012.442
2008,1,2,23,0,8.58,66.3,25.2,95.6,1013.113
2008,1,3,0,0,8.75,67.0,25.3,95.3,1013.148
2008,1,3,1,0,8.6,66.2,25.4,95.0,1013.815
2008,1,3,2,0,8.51,65.3,25.5,94.7,1014.183
2008,1,3,3,0,8.39,66.2,25.6,94.5,1014.277
2008,1,3,4,0,8.49,67.8,25.6,94.5,1014.519
2008,1,3,5,0,8.47,67.6,25.4,94.6,1014.336
2008,1,3,6,0,8.38,64.0,25.3,94.2,1014.336
2008,1,3,7,0,8.28,60.4,25.1,93.7,1013.646
2008,1,3,8,0,8.05,57.9,25.0,93.4,1013.816
2008,1,3,9,0,7.8,58.3,24.9,93.0,1013.898
2008,1,3,10,0,6.23,55.1,25.0,91.9,1013.978
2008,1,3,11,0,5.99,57.8,25.1,91.7,1014.809
2008,1,3,12,0,5.89,62.3,25.3,91.5,1015.287
2008,1,3,13,0,5.88,64.3,25.4,91.7,1016.151
2008,1,3,14,0,5.8,64.8,25.6,91.8,1016.844
2008,1,3,15,0,5.74,66.0,25.6,92.2,1016.652
2008,1,3,16,0,5.57,66.3,25.7,92.8,1016.611
2008,1,3,17,0,5.19,65.3,25.7,93.3,1016.068
2008,1,3,18,0,5.05,61.1,25.7,93.6,1015.033
2008,1,3,19,0,5.33,54.8,25.7,94.0,1014.097
2008,1,3,20,0,5.86,49.8,25.7,94.0,1013.362
2008,1,3,21,0,6.47,48.2,25.6,94.4,1013.066
2008,1,3,22,0,5.58,37.6,25.5,95.0,1013.546
2008,1,3,23,0,5.27,39.5,25.4,95.3,1014.107
2008,1,4,0,0,5.3,36.5,25.5,95.1,1014.729
2008,1,4,1,0,5.66,34.9,25.5,95.0,1015.184
2008,1,4,2,0,6.15,37.4,25.6,95.1,1015.902
2008,1,4,3,0,6.56,44.7,25.6,95.4,1016.375
2008,1,4,4,0,7.16,51.6,25.5,95.8,1016.002
2008,1,4,5,0,8.4,57.2,25.3,95.9,1015.691
2008,1,4,6,0,9.11,59.0,24.9,96.2,1015.091
2008,1,4,7,0,9.29,61.5,24.2,97.1,1014.483
2008,1,4,8,0,9.62,64.9,23.7,97.3,1014.443
2008,1,4,9,0,9.81,70.7,23.5,97.6,1014.346
